SSR,CALLSIGN,TRACK NO,TYPE,ALERT,OCCUR DATE,LAT,LON,SPEED,HEADING,ALT,CST,PSR,SSR
 0067,,9043,0,,2012-06-11 15:24:33,37.5555,123.176,265.978,129.24,299,0,0,1
 0067,,9043,0,,2012-06-11 15:24:33,37.5544,123.177,266.294,129.323,298,0,0,1
 0067,,9043,0,,2012-06-11 15:24:35,37.5467,123.19,266.764,127.461,298,0,0,1
 0067,,9043,0,,2012-06-11 15:24:35,37.5486,123.188,265.703,127.161,298,0,0,1
 0067,,9043,0,,2012-06-11 15:24:37,37.5408,123.201,265.888,125.394,297,0,0,1
 0067,,9043,0,,2012-06-11 15:24:37,37.5419,123.2,265.25,125.293,297,0,0,1
 0067,,9043,0,,2012-06-11 15:24:38,37.5349,123.212,265.934,124.467,297,0,0,1
 0067,,9043,0,,2012-06-11 15:24:39,37.5339,123.213,266.565,124.569,297,0,0,1
 0067,,9043,0,,2012-06-11 15:24:41,37.5247,123.226,274.125,126.097,296,0,0,1
 0067,,9043,0,,2012-06-11 15:24:43,37.5168,123.239,279.29,125.895,295,0,0,1
 0067,,9043,0,,2012-06-11 15:24:44,37.5113,123.252,274.182,122.98,295,0,0,1
 0067,,9043,0,,2012-06-11 15:24:44,37.5134,123.249,272.484,122.524,295,0,0,1
 0067,,9043,0,,2012-06-11 15:24:46,37.5079,123.262,270.561,120.237,294,0,0,1
 0067,,9043,0,,2012-06-11 15:24:46,37.507,123.264,270.813,120.329,294,0,0,1
 0067,,9043,0,,2012-06-11 15:24:48,37.5022,123.276,270.172,118.581,294,0,0,1
 0067,,9043,0,,2012-06-11 15:24:48,37.5012,123.277,270.893,118.859,293,0,0,1
 0067,,9043,0,,2012-06-11 15:24:49,37.4959,123.289,271.016,118.243,293,0,0,1
 0067,,9043,0,,2012-06-11 15:24:50,37.4945,123.291,271.491,118.429,293,0,0,1
 0067,,9043,0,,2012-06-11 15:24:51,37.4903,123.302,270.478,117.347,292,0,0,1
 0067,,9043,0,,2012-06-11 15:24:52,37.4893,123.304,271.054,117.581,292,0,0,1
 0067,,9043,0,,2012-06-11 15:24:53,37.4828,123.318,270.7,117.322,292,0,0,1
 0067,,9043,0,,2012-06-11 15:24:53,37.4843,123.315,270.124,116.968,292,0,0,1
 0067,,9043,0,,2012-06-11 15:24:55,37.4778,123.33,269.111,116.66,291,0,0,1
 0067,,9043,0,,2012-06-11 15:24:55,37.4787,123.328,268.777,116.398,291,0,0,1
 0067,,9043,0,,2012-06-11 15:24:56,37.4727,123.341,268.218,116.756,291,0,0,1
 0067,,9043,0,,2012-06-11 15:24:57,37.4713,123.344,268.571,117.257,291,0,0,1
 0067,,9043,0,,2012-06-11 15:24:59,37.4668,123.354,267.117,117.237,291,0,0,1
 0067,,9043,0,,2012-06-11 15:24:59,37.466,123.356,267.461,117.379,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:00,37.4603,123.369,266.14,117.648,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:00,37.4612,123.367,265.784,117.385,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:02,37.454,123.383,265.515,118.085,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:02,37.4555,123.38,264.8,117.678,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:03,37.4498,123.393,263.824,117.973,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:04,37.4489,123.395,264.192,118.238,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:06,37.4413,123.408,266.962,120.191,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:07,37.4346,123.42,267.881,120.945,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:08,37.4306,123.431,264.514,120.249,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:09,37.4279,123.436,262.565,121.132,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:09,37.4288,123.434,264.97,120.63,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:10,37.4253,123.444,250.52,119.865,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:10,37.4271,123.442,248.237,119.172,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:11,37.4236,123.449,244.695,119.367,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:12,37.4223,123.454,242.639,118.493,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:12,37.421,123.456,243.876,118.535,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:13,37.4194,123.461,239.325,117.903,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:14,37.4168,123.468,240.294,117.445,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:14,37.4146,123.473,237.828,117.346,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:14,37.4176,123.466,239.39,117.288,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:15,37.4127,123.478,238.701,116.699,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:16,37.4113,123.481,241.056,117.017,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:16,37.4095,123.486,238.142,116.7,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:17,37.4078,123.49,238.814,116.35,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:18,37.4063,123.493,241.16,116.671,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:18,37.4037,123.498,240.96,117.363,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:19,37.4012,123.503,244.226,117.693,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:19,37.4003,123.505,245.589,117.922,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:21,37.3931,123.519,254.41,118.655,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:21,37.3922,123.521,253.533,118.764,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:21,37.3946,123.516,253.136,118.362,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:22,37.3891,123.528,251.638,118.806,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:23,37.3882,123.53,252.462,119.027,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:24,37.3818,123.543,257.034,119.482,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:24,37.3827,123.541,256.788,119.385,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:25,37.3763,123.554,259.947,119.943,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:26,37.3747,123.556,261.167,120.296,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:27,37.37,123.566,261.673,120.485,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:27,37.3691,123.568,262.054,120.626,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:29,37.3625,123.581,261.835,120.973,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:29,37.364,123.579,261.194,120.738,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:30,37.3584,123.591,259.227,120.547,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:31,37.3569,123.594,259.435,120.841,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:32,37.3525,123.603,257.635,120.821,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:33,37.3516,123.605,257.677,120.945,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:34,37.3467,123.615,256.348,120.993,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:35,37.3452,123.618,256.993,121.231,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:36,37.341,123.627,254.847,120.867,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:36,37.3401,123.629,255.019,121.041,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:38,37.3341,123.641,253.948,121.186,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:38,37.335,123.639,253.69,121.09,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:40,37.3278,123.654,254.033,121.109,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:40,37.3293,123.651,253.175,120.896,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:41,37.3236,123.664,252.663,120.701,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:42,37.3228,123.665,253.006,120.721,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:43,37.3184,123.676,250.894,120.014,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:43,37.3176,123.677,251.145,120.113,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:45,37.3128,123.688,249.962,119.873,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:45,37.3116,123.69,250.428,119.944,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:46,37.3068,123.701,249.9,119.617,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:46,37.3077,123.7,249.53,119.467,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:48,37.3004,123.715,250.769,119.965,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:48,37.3017,123.712,250.271,119.766,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:50,37.2963,123.724,250.488,119.738,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:50,37.2954,123.726,250.52,119.865,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:51,37.2903,123.736,251.019,120.063,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:51,37.2895,123.738,251.145,120.113,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:53,37.2847,123.748,251.019,120.063,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:54,37.2833,123.751,251.738,120.232,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:55,37.279,123.761,251.27,120.162,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:55,37.2782,123.762,251.396,120.211,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:56,37.2735,123.772,251.27,120.162,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:57,37.2721,123.775,251.738,120.232,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:58,37.2669,123.786,251.648,120.31,291,0,0,1
 0067,,9043,0,,2012-06-11 15:25:58,37.2677,123.785,251.648,120.31,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:00,37.2623,123.797,251.27,120.162,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:00,37.2615,123.798,251.396,120.211,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:01,37.2565,123.809,251.306,120.289,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:02,37.2552,123.811,251.432,120.338,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:03,37.251,123.821,251.306,120.289,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:04,37.2502,123.822,251.306,120.289,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:05,37.2454,123.833,250.838,120.219,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:05,37.2442,123.836,250.964,120.269,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:07,37.2392,123.846,250.838,120.219,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:07,37.24,123.845,250.838,120.219,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:08,37.2344,123.857,250.838,120.219,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:09,37.233,123.86,250.964,120.269,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:10,37.2286,123.869,250.964,120.269,291,0,0,1
 0067,,9043,0,,2012-06-11 15:26:10,37.2273,123.872,251.09,120.318,291,0,0,1
